Mobiliti azonosító	Töltőpont neve	Kapacitás	power_level	connection_type	Teljesítmény (Type 2)	Darab (Type 2)	Teljesítmény (CCS)	Darab (CCS)	Teljesítmény (CHAdeMO)	Darab (CHAdeMO)	Irányító szám	Település	Cím	GPS koordináták	price
10171	10171 - Auchan Budakalász - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Budakalász	Omszk park  1.	47.612289, 19.06111	100 Ft/kWh
10172	10172 - Auchan Budakalász - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Budakalász	Omszk park  1.	47.61227, 19.061171	100 Ft/kWh
10173	10173 - Auchan Solymár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2082	Solymár	Szent Flórián utca 2.	47.597672, 18.96174	100 Ft/kWh
10174	10174 - Auchan Solymár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2082	Solymár	Szent Flórián utca 2.	47.597691, 18.96167	100 Ft/kWh
10175	10175 - Auchan Soroksár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1239	Budapest	Bevásárló utca 2.	47.41996, 19.156521	100 Ft/kWh
10176	10176 - Auchan Soroksár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1239	Budapest	Bevásárló utca 2.	47.41983, 19.156389	100 Ft/kWh
10177	10177 - Auchan Maglód - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2234	Maglód	Eszterházy J. utca 1.	47.459358, 19.33349	100 Ft/kWh
10178	10178 - Auchan Maglód - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2234	Maglód	Eszterházy J. utca 1.	47.459381, 19.333441	100 Ft/kWh
10179	10179 - Auchan Dunakeszi - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2120	Dunakeszi	Nádas utca 6.	47.608219, 19.117979	100 Ft/kWh
10180	10180 - Auchan Dunakeszi - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2120	Dunakeszi	Nádas utca 6.	47.6082, 19.11797	100 Ft/kWh
10181	10181 - Auchan Székesfehérvár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	Holland fasor 2.	47.149441, 18.43154	100 Ft/kWh
10182	10182 - Auchan Székesfehérvár - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	Holland fasor 2.	47.149471, 18.431499	100 Ft/kWh
10183	10183 - Auchan Kecskemét - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Dunaföldvári út 2.	46.88739, 19.634951	100 Ft/kWh
10184	10184 - Auchan Kecskemét - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Dunaföldvári út 2.	46.887341, 19.63496	100 Ft/kWh
10185	10185 - Auchan Szolnok - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Felső Szandai rét 1.	47.158989, 20.19787	100 Ft/kWh
10186	10186 - Auchan Szolnok - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Felső Szandai rét 1.	47.158981, 20.197889	100 Ft/kWh
10187	10187 - Auchan Csömör - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2141	Csömör	Határ út 6.	47.540484, 19.242496	100 Ft/kWh
10188	10188 - Auchan Csömör - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2141	Csömör	Határ út 6.	47.540451, 19.242443	100 Ft/kWh
10189	10189 - Auchan Óbuda - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1033	Budapest	Szentendrei út 115.	47.560065, 19.049446	100 Ft/kWh
10190	10190 - Auchan Óbuda - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1033	Budapest	Szentendrei út 115.	47.560063, 19.04939	100 Ft/kWh
10191	10191 - Tótkomlós, Piactér - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5940	Tótkomlós	Piactér	46.412161, 20.737595	100 Ft/kWh
10192	10192 - Mezőkövesd, Zsóry fürdő - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3400	Mezőkövesd	Napfürdő út 3.	47.795049, 20.523907	100 Ft/kWh
10194	10194 - Keszthely, Tapolcai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8360	Keszthely	Tapolcai út 37.	46.773924, 17.267464	100 Ft/kWh
10195	10195 - Keszthely, Tapolcai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8360	Keszthely	Tapolcai út 37.	46.773927, 17.267534	100 Ft/kWh
10196	10196 - Keszthely, Tapolcai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8360	Keszthely	Tapolcai út 37.	46.773928, 17.267705	100 Ft/kWh
10197	10197 - Veszprém, Jutasi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8200	Veszprém	Jutasi út 18.	47.107712, 17.910718	100 Ft/kWh
10198	10198 - Nyíregyháza, Korányi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4400	Nyíregyháza	Korányi Frigyes utca 1.	47.971729, 21.727309	100 Ft/kWh
10199	10199 - Dunakeszi, Toldi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2120	Dunakeszi	Toldi utca 1.	47.632419, 19.154633	100 Ft/kWh
10200	10200 - Vác, Avar utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2600	Vác	Avar utca 6.	47.768862, 19.140963	100 Ft/kWh
10201	10201 - Szentendre, Dobogókői út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2000	Szentendre	Dobogókői út 4.	47.64613, 19.064656	100 Ft/kWh
10202	10202 - Szentendre, Dobogókői út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2000	Szentendre	Dobogókői út 4.	47.64613, 19.064731	100 Ft/kWh
10203	10203 - Szentendre, Dobogókői út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2000	Szentendre	Dobogókői út 4.	47.646131, 19.064799	100 Ft/kWh
10204	10204 - Szentendre, Dobogókői út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2000	Szentendre	Dobogókői út 4.	47.646131, 19.064869	100 Ft/kWh
10205	10205 - Keszthely, Tapolcai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8360	Keszthely	Tapolcai út 37.	46.77392, 17.267397	100 Ft/kWh
10206	10206 - Dunaújváros, Béke körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Béke körút 2.	46.960836, 18.920002	100 Ft/kWh
10207	10207 - Dunaújváros, Béke körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Béke körút 2.	46.960812, 18.920112	100 Ft/kWh
10208	10208 - Dunaújváros, Béke körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Béke körút 2.	46.960783, 18.920233	100 Ft/kWh
10209	10209 - Dunaújváros, Béke körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Béke körút 2.	46.96075, 18.920357	100 Ft/kWh
10210	10210 - Dunaújváros, Béke körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2400	Dunaújváros	Béke körút 2.	46.96073, 18.920483	100 Ft/kWh
10211	10211 - Sopron, Arany János utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Arany János utca 16.	47.677824, 16.589145	100 Ft/kWh
10212	10212 - Törökbálint, Tópark utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Törökbálint	Tópark utca 2.	47.451027, 18.903371	100 Ft/kWh
10213	10213 - Törökbálint, Tópark utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Törökbálint	Tópark utca 2.	47.451018, 18.903232	100 Ft/kWh
10214	10214 - Törökbálint, Tópark utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2045	Törökbálint	Tópark utca 2.	47.451007, 18.903077	100 Ft/kWh
10215	10215 - Tatabány, Győri utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2800	Tatabánya	Győri utca 25.	47.591534, 18.389698	100 Ft/kWh
10216	10216 - Baja, Bernhardt utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6500	Baja	Bernhardt utca 77.	46.195119, 18.957971	100 Ft/kWh
10217	10217 - Gödöllő, Köztársaság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2100	Gödöllő	Köztársaság út 85. - SPAR	47.5866116, 19.3726704	100 Ft/kWh
10218	10218 - Gödöllő, Köztársaság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2100	Gödöllő	Köztársaság út 85. - SPAR	47.5866293, 19.3727575	100 Ft/kWh
10219	10219 - Gödöllő, Köztársaság út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2100	Gödöllő	Köztársaság út 85. - SPAR	47.5866519, 19.3727921	100 Ft/kWh
10220	10220 - Salgótarján, Füleki út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3100	Salgótarján	Füleki út 203.	48.130383, 19.812831	100 Ft/kWh
10221	10221 - Ajka, Ifjúság utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8400	Ajka	Ifjúság utca 9.	47.108406, 17.550997	100 Ft/kWh
10222	10222 - Nagykanizsa, Kalmár utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8800	Nagykanizsa	Kalmár utca 3.	46.457299, 16.984986	100 Ft/kWh
10225	10225 - Szolnok, Mátyás király út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Mátyás király út 29.	47.180141, 20.182119	100 Ft/kWh
10226	10226 - Szolnok, Mátyás király út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Mátyás király út 29.	47.180155, 20.182024	100 Ft/kWh
10231	10231 - Sopron, Selmeci utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Selmeci utca 15-17.	47.68978, 16.583583	100 Ft/kWh
10232	10232 - Sopron, Selmeci utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Selmeci utca 15-17.	47.688898, 16.582908	100 Ft/kWh
10237	10237 - Kiskunfélegyháza, Dr. Holló Lajos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6100	Kiskunfélegyháza	Dr. Holló Lajos utca 74-76.	46.722485, 19.845611	100 Ft/kWh
10238	10238 - Kiskunfélegyháza, Dr. Holló Lajos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6100	Kiskunfélegyháza	Dr. Holló Lajos utca 74-76.	46.722615, 19.845611	100 Ft/kWh
10239	10239 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.364347, 17.809419	100 Ft/kWh
10240	10240 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.364397, 17.809387	100 Ft/kWh
10241	10241 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.36444, 17.809349	100 Ft/kWh
10242	10242 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.364501, 17.809314	100 Ft/kWh
10243	10243 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.364543, 17.809279	100 Ft/kWh
10244	10244 - Kaposvár, Árpád út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Árpád út 20.	46.364586, 17.809247	100 Ft/kWh
10245	10245 - Budapest, Pillangó utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1149	Budapest	Pillangó utca 15.	47.505258, 19.118128	100 Ft/kWh
10246	10246 - Budapest, Pillangó utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1149	Budapest	Pillangó utca 15.	47.505324, 19.118245	100 Ft/kWh
10247	10247 - Kecskemét, Talfája utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Talfája utca 1.	46.932067, 19.666657	100 Ft/kWh
10248	10248 - Kecskemét, Talfája utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Talfája utca 1.	46.932019, 19.666593	100 Ft/kWh
10249	10249 - Debrecen, Kishegyesi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4031	Debrecen	Kishegyesi utca 1-11.	47.530922, 21.610522	100 Ft/kWh
10250	10250 - Debrecen, Kishegyesi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4031	Debrecen	Kishegyesi utca 1-11.	47.530807, 21.610563	100 Ft/kWh
10251	10251 - Kecskemét, Malom Központ P1 - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Korona utca 2.	46.9076667, 19.6888042	100 Ft/kWh
10252	10252 - Kecskemét, Malom Központ P2 - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6000	Kecskemét	Korona utca 2.	46.907493, 19.688698	100 Ft/kWh
10253	10253 - Mezőberény, Békési út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5650	Mezőberény	Békési út	46.819401, 21.032647	100 Ft/kWh
10262	10262 - Budapest II, Templom utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1028	Budapest	Templom utca 1-3.	47.565095, 18.959513	100 Ft/kWh
10263	10263 - Budapest II, Nagybányai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1025	Budapest	Nagybányai út 91.	47.533591, 18.993057	100 Ft/kWh
10264	10264 - Allee Bevásárlóközpont P3 - Mobiliti	5	5 x AC 22 kW	5 x Type 2	22	2					1117	Budapest	Október huszonharmadika utca 8-10.	47.475099, 19.049149	100 Ft/kWh
10265	10265 - Allee Bevásárlóközpont P3 - Mobiliti	5	5 x AC 22 kW	5 x Type 2	22	2					1117	Budapest	Október huszonharmadika utca 8-10.	47.475019, 19.049135	100 Ft/kWh
10266	10266 - Allee Bevásárlóközpont P1 - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1117	Budapest	Október huszonharmadika utca 8-10.	47.474904, 19.049111	100 Ft/kWh
10267	10267 - Allee Bevásárlóközpont P1 - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1117	Budapest	Október huszonharmadika utca 8-10.	47.474786, 19.049076	100 Ft/kWh
10268	10268 - Allee Bevásárlóközpont P3 - Mobiliti	8	8 x AC 22 kW	8 x Type 2	22	2					1117	Budapest	Október huszonharmadika utca 8-10.	47.474683, 19.049033	100 Ft/kWh
10269	10269 - Budapest, Széllkapu Mélygarázs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1024	Budapest	Kis Rókus utca 16-20.	47.510324, 19.028496	100 Ft/kWh
10270	10270 - Budapest, Széllkapu Mélygarázs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1024	Budapest	Kis Rókus utca 16-20.	47.510104, 19.028892	100 Ft/kWh
10271	10271 - Oroszlányi Bányászati Múzeum - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2840	Oroszlány	Majk puszta 1. - Oroszlányi Bányászati Múzeum	47.490792, 18.341917	100 Ft/kWh
10272	10272 - Budapest, Széllkapu Mélygarázs - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1024	Budapest	Kis Rókus utca 16-20.	47.51074002, 19.0277546	100 Ft/kWh
10274	10274 - Siófok, Vak Bottyán utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8600	Siófok	Vak Bottyán utca 27.	46.892868, 18.055668	100 Ft/kWh
10275	10275 - Siófok, Vak Bottyán utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8600	Siófok	Vak Bottyán utca 27.	46.892784, 18.055721	100 Ft/kWh
10276	10276 - Oroszlány, Kornyei út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2840	Oroszlány	Kornyei út 3-5.	47.496034, 18.321406	100 Ft/kWh
10277	10277 - Oroszlány, Kornyei út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2840	Oroszlány	Kornyei út 3-5.	47.496024, 18.321602	100 Ft/kWh
10278	10278 - Győr, Királyszék utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9012	Győr	Királyszék utca 33.	47.64852, 17.624965	100 Ft/kWh
10279	10279 - Győr, Királyszék utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9012	Győr	Királyszék utca 33.	47.648556, 17.624879	100 Ft/kWh
10280	10280 - Sarkad, Anti út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5720	Sarkad	Anti út	46.738568, 21.374939	100 Ft/kWh
10281	10281 - Székesfehérvár, Aszalvölgyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	Aszalvölgyi utca 1.	47.207892, 18.426533	100 Ft/kWh
10282	10282 - Székesfehérvár, Aszalvölgyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8000	Székesfehérvár	Aszalvölgyi utca 1.	47.207970, 18.426373	100 Ft/kWh
10283	10283 - Szeged, Rókusi körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6724	Szeged	Rókusi körút 42-64.	46.269488, 20.139238	100 Ft/kWh
10284	10284 - Szeged, Rókusi körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6724	Szeged	Rókusi körút 42-64.	46.269456, 20.13916	100 Ft/kWh
10289	10289 - Szikszó, Angel Petrol - Mobiliti	1	1 x AC 22 kW	1 x Type 2	22	2					3800	Szikszó	Avalon utca 4. - Angel Petrol	48.176474, 20.917317	100 Ft/kWh
10292	10292 - Balatonfüred, Széchenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8230	Balatonfüred	Széchenyi utca 55.	46.947889, 17.8773	100 Ft/kWh
10293	10293 - Balatonfüred, Széchenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8230	Balatonfüred	Széchenyi utca 55.	46.947773, 17.877389	100 Ft/kWh
10294	10294 - Hódmezővásárhely, Hódtó utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6800	Hódmezővásárhely	Hódtó utca 17-19.	46.41207, 20.331031	100 Ft/kWh
10295	10295 - Hódmezővásárhely, Hódtó utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6800	Hódmezővásárhely	Hódtó utca 17-19.	46.411986, 20.331013	100 Ft/kWh
10296	10296 - Budapest, Groupama Aréna - Mobiliti	1	1 x AC 22 kW	1 x Type 2	22	2					1091	Budapest	Üllői út 129.	47.475815, 19.094666	100 Ft/kWh
10297	10297 - Budapest, Groupama Aréna - Mobiliti	1	1 x AC 22 kW	1 x Type 2	22	2					1091	Budapest	Üllői út 129.	47.475768, 19.094612	100 Ft/kWh
10298	10298 - Budapest, Groupama Aréna - Mobiliti	1	1 x AC 22 kW	1 x Type 2	22	2					1091	Budapest	Üllői út 129.	47.475659, 19.094507	100 Ft/kWh
10299	10299 - Budapest, Groupama Aréna - Mobiliti	1	1 x AC 22 kW	1 x Type 2	22	2					1091	Budapest	Üllői út 129.	47.475493, 19.094379	100 Ft/kWh
10300	10300 - Hosszúhetény, Almalomb - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7694	Hosszúhetény	Ormándi utca 24.	46.1555551, 18.3530651	100 Ft/kWh
10301	10301 - Hosszúhetény, Almalomb - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7694	Hosszúhetény	Ormándi utca 24.	46.1555548, 18.3530105	100 Ft/kWh
10303	10303 - Budapest, Pesti út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1173	Budapest	Pesti út 5-7.	47.482889, 19.229369	100 Ft/kWh
10304	10304 - Budapest, Pesti út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					1173	Budapest	Pesti út 5-7.	47.482951, 19.229206	100 Ft/kWh
10305	10305 - Érd, Budafoki út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Budafoki út 2-4.	47.376683, 18.937399	100 Ft/kWh
10306	10306 - Érd, Budafoki út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2030	Érd	Budafoki út 2-4.	47.376738, 18.937422	100 Ft/kWh
10307	10307 - Tököl, Hermina utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2316	Tököl	Hermina utca 1-3.	47.337096, 18.997188	100 Ft/kWh
10308	10308 - Tököl, Hermina utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2316	Tököl	Hermina utca 1-3.	47.336585, 18.997533	100 Ft/kWh
10309	10309 - Berettyóújfalu, Honvéd utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4100	Berettyóújfalu	Honvéd utca 13.	47.239936, 21.536712	100 Ft/kWh
10310	10310 - Berettyóújfalu, Honvéd utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4100	Berettyóújfalu	Honvéd utca 13.	47.239949, 21.536588	100 Ft/kWh
10311	10311 - Debrecen, Mikepércsi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4030	Debrecen	Mikepércsi út 73a.	47.503011, 21.628744	100 Ft/kWh
10312	10312 - Debrecen, Mikepércsi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					4030	Debrecen	Mikepércsi út 73a.	47.502998, 21.628439	100 Ft/kWh
10313	10313 - Komárom, Bajcsy-Zsilinszky Endre utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2900	Komárom	Bajcsy-Zsilinszky Endre utca 7.	47.747477, 18.118342	100 Ft/kWh
10314	10314 - Komárom, Bajcsy-Zsilinszky Endre utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2900	Komárom	Bajcsy-Zsilinszky Endre utca 7.	47.747396, 18.118339	100 Ft/kWh
10315	10315 - Dunaharaszti, Némedi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2330	Dunaharaszti	Némedi út 69.	47.344605, 19.118013	100 Ft/kWh
10316	10316 - Dunaharaszti, Némedi út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					2330	Dunaharaszti	Némedi út 69.	47.344546, 19.118075	100 Ft/kWh
10317	10317 - Kiskunfélegyháza, IX. körzet tanya - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6100	Kiskunfélegyháza	IX. körzet tanya 8.	46.689102, 19.849132	100 Ft/kWh
10318	10318 - Kiskunfélegyháza, IX. körzet tanya - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6100	Kiskunfélegyháza	IX. körzet tanya 8.	46.689149, 19.849307	100 Ft/kWh
10319	10319 - Kaposvár, Berzsenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Berzsenyi utca 13.	46.360137, 17.782349	100 Ft/kWh
10320	10320 - Kaposvár, Berzsenyi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7400	Kaposvár	Berzsenyi utca 13.	46.360266, 17.782294	100 Ft/kWh
10321	10321 - Szekszárd, Tartsay Vilmos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7100	Szekszárd	Tartsay Vilmos utca 40.	46.331485, 18.705224	100 Ft/kWh
10322	10322 - Szekszárd, Tartsay Vilmos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					7100	Szekszárd	Tartsay Vilmos utca 40.	46.331471, 18.705033	100 Ft/kWh
10323	10323 - Mosonmagyaróvár, Királyhidai utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9200	Mosonmagyaróvár	Királyhidai utca 42.	47.877515, 17.256675	100 Ft/kWh
10324	10324 - Mosonmagyaróvár, Királyhidai utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9200	Mosonmagyaróvár	Királyhidai utca 42.	47.877499, 17.256646	100 Ft/kWh
10325	10325 - Zalaegerszeg, Sport utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8900	Zalaegerszeg	Sport utca 1.	46.843164, 16.860644	100 Ft/kWh
10326	10326 - Zalaegerszeg, Sport utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8900	Zalaegerszeg	Sport utca 1.	46.843247, 16.860615	100 Ft/kWh
10327	10327 - Sopron, Ipar körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Ipar körút 30.	47.670259, 16.612152	100 Ft/kWh
10328	10328 - Sopron, Ipar körút - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					9400	Sopron	Ipar körút 30.	47.670299, 16.612017	100 Ft/kWh
10329	10329 - Nagykanizsa, Boszorkány utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8800	Nagykanizsa	Boszorkány utca 2.	46.464193, 17.013717	100 Ft/kWh
10330	10330 - Nagykanizsa, Boszorkány utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8800	Nagykanizsa	Boszorkány utca 2.	46.464114, 17.013756	100 Ft/kWh
10331	10331 - Gyöngyös, Vásár utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3200	Gyöngyös	Vásár utca 2.	47.768785, 19.912641	100 Ft/kWh
10332	10332 - Gyöngyös, Vásár utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					3200	Gyöngyös	Vásár utca 2.	47.768646, 19.912888	100 Ft/kWh
10333	10333 - Békéscsaba, Szarvasi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5600	Békéscsaba	Szarvasi utca 68.	46.680849, 21.073924	100 Ft/kWh
10334	10334 - Békéscsaba, Szarvasi utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5600	Békéscsaba	Szarvasi utca 68.	46.680954, 21.073853	100 Ft/kWh
10335	10335 - Szolnok, Téglagyári út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Téglagyári út 30.	47.177190, 20.166924	100 Ft/kWh
10336	10336 - Szolnok, Téglagyári út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					5000	Szolnok	Téglagyári út 30.	47.177127, 20.166809	100 Ft/kWh
10337	10337 - Baja, Gránátos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6500	Baja	Gránátos utca 11.	46.190298, 18.936283	100 Ft/kWh
10338	10338 - Baja, Gránátos utca - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					6500	Baja	Gránátos utca 11.	46.190279, 18.936181	100 Ft/kWh
10339	10339 - Veszprém, Külső-Kádártai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8200	Veszprém	Külső-Kádártai út 3.	47.103052, 17.932926	100 Ft/kWh
10340	10340 - Veszprém, Külső-Kádártai út - Mobiliti	2	2 x AC 22 kW	2 x Type 2	22	2					8200	Veszprém	Külső-Kádártai út 3.	47.103007, 17.932794	100 Ft/kWh
